mid_date,start_date,end_date,volume,elevation,alongshore_centroid_m,alongshore_start_m,alongshore_end_m,mop_centroid,mop_start,mop_end,width,height,vol_unc,month
2018-12-22,2018-12-18,2018-12-26,0.4348786274944983,3.495925973415578,864.0803919564654,863.4356717937626,864.9307701177895,575.0658969931854,575.06525,575.0665,1.4950983240269125,0.75,0.04788786994474135,12
2018-12-22,2018-12-18,2018-12-26,0.8221333393027268,1.8692532890858657,569.1280363186088,568.1581352637149,570.4035487449728,572.0702218822742,572.06925,572.07125,2.245413481257856,1.0,0.06387333228106397,12
2018-12-22,2018-12-18,2018-12-26,0.5990790327931038,3.9164746630740392,480.8053212369816,480.0880092214793,481.584951672703,571.0817187769622,571.081,571.08225,1.496942451223731,1.25,0.05662044971078972,12
2018-12-22,2018-12-18,2018-12-26,5.580698228940804,1.7199777110954633,543.1280608357481,539.4667330007069,547.6999176507816,572.0441688057718,572.0405,572.0485,8.23318465007469,1.5,0.12416701043126595,12
2018-12-22,2018-12-18,2018-12-26,0.44979857143923657,3.745688891304788,915.5311030012192,914.7893153182231,916.5354046341963,576.0284934733634,576.02775,576.02925,1.7460893159732223,0.75,0.04903868894992023,12
2018-12-22,2018-12-18,2018-12-26,0.6015128709862488,3.5802433326600216,918.0491389157157,917.2836472783238,919.0297360946424,576.0310172315311,576.03025,576.03175,1.746088816318661,1.0,0.05850195877952458,12
2018-12-22,2018-12-18,2018-12-26,0.328191613157376,3.3322099213994902,924.8607479833526,924.5172086637467,925.5149984913878,576.0378443198978,576.0375,576.03825,0.9977898276410997,1.0,0.043252045530249195,12
2018-12-22,2018-12-18,2018-12-26,3.974257054628982,3.957237742194817,968.1355569816344,965.1748137678951,971.9095655032434,576.0812174717771,576.07825,576.08475,6.734751735348254,2.0,0.12108567574093149,12
2018-12-22,2018-12-18,2018-12-26,0.10617905251541163,2.8012805337603544,1050.8379112161535,1050.4809628985822,1051.4787527276203,577.0641077593625,577.06375,577.0645,0.9977898290380836,0.5,0.02571963852575628,12
2018-12-22,2018-12-18,2018-12-26,169.77752028851205,4.1454411970862735,1070.9180093603195,1027.782542514149,1109.6019210107625,577.235134800158,577.041,578.02275,81.81937849661335,5.5,0.6265522751126095,12
