survey_date,survey_file,survey_path,event_date,event_id,days_before,event_volume,event_alongshore_start,event_alongshore_end
2018-09-21,20180921_00590_00636_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20180921_00590_00636_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2018-10-02,318,11,12.285261635312352,1443.409408006817,1445.1263719205745
2017-03-01,20170301_00590_00612_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20170301_00590_00612_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2017-03-23,319,22,12.266981210468469,1186.3555371244438,1196.1239977777004
2020-06-24,20200624_00518_00639_0602_NoWaves_BlacksTorreyDelMar_miniRanger_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20200624_00518_00639_0602_NoWaves_BlacksTorreyDelMar_miniRanger_beach_cliff_ground_cropped_nobeach_noveg.las,2020-07-02,320,8,12.240318115440772,980.409913661424,983.2876453227364
2017-11-06,20171106_00590_00622_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20171106_00590_00622_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2017-12-01,321,25,12.224082885990487,2082.408872109838,2096.120412677061
2019-02-06,20190206_00568_00622_NoWaves_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20190206_00568_00622_NoWaves_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2019-02-15,322,9,12.154511286196486,1190.3016695030965,1196.1239977777004
2019-01-23,20190123_00590_00636_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20190123_00590_00636_NoWaves_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2019-01-30,323,7,12.12709981732286,1261.0830944841728,1267.321088404395
2019-11-12,20191112_00519_00636_NoWaves_Blacks_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20191112_00519_00636_NoWaves_Blacks_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2019-11-22,324,10,12.082626369198318,2034.9920987407677,2068.0633755195886
2024-11-12,20241112_00589_00637_1216_DelMar_NoWaves_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20241112_00589_00637_1216_DelMar_NoWaves_beach_cliff_ground_cropped_nobeach_noveg.las,2024-11-19,325,7,12.05918662329316,601.7112809242681,606.1813958166167
2020-11-18,20201118_00519_00636_NoWaves_Blacks_Torrey_Delmar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20201118_00519_00636_NoWaves_Blacks_Torrey_Delmar_beach_cliff_ground_cropped_nobeach_noveg.las,2020-12-17,326,29,12.033687515448602,1424.8340978580527,1440.2849980620667
2019-10-17,20191017_00519_00636_NoWaves_Blacks_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20191017_00519_00636_NoWaves_Blacks_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2019-10-29,327,12,12.025955954428298,1826.6868494222872,1831.6194531931544
2020-03-19,20200319_00568_00636_NoWaves_TorreyDelmar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20200319_00568_00636_NoWaves_TorreyDelmar_beach_cliff_ground_cropped_nobeach_noveg.las,2020-04-08,328,20,12.015215934226962,541.6710896966979,554.2575178463012
2019-04-01,20190401_00568_00636_NoWaves_DelMarTorrey_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20190401_00568_00636_NoWaves_DelMarTorrey_beach_cliff_ground_cropped_nobeach_noveg.las,2019-04-15,329,14,11.987378855708918,1627.4798314184882,1641.5113609689288
2023-04-06,20230406_00567_00638_1529_NoWaves_Torrey_DelMar_miniRanger_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20230406_00567_00638_1529_NoWaves_Torrey_DelMar_miniRanger_beach_cliff_ground_cropped_nobeach_noveg.las,2023-04-17,330,11,11.986798211312188,1348.3990761246532,1354.0875098733231
2024-04-09,20240409_00588_00639_0342_NoWaves_DelMar_miniRanger_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20240409_00588_00639_0342_NoWaves_DelMar_miniRanger_beach_cliff_ground_cropped_nobeach_noveg.las,2024-04-16,331,7,11.974177781468631,1392.206948348787,1395.427977686748
2018-12-10,20181210_00568_00622_NoWaves_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20181210_00568_00622_NoWaves_Torrey_DelMar_beach_cliff_ground_cropped_nobeach_noveg.las,2018-12-18,332,8,11.856154755223734,825.1140432618558,832.0599578553811
2023-12-21,20231221_00581_00684_1033_NoWaves_DelMar_Cardiff_beach_cliff_ground_cropped_nobeach_noveg.las,/project/group/LiDAR/LidarProcessing/LidarProcessingCliffs/results/DelMar/noveg/20231221_00581_00684_1033_NoWaves_DelMar_Cardiff_beach_cliff_ground_cropped_nobeach_noveg.las,2023-12-28,333,7,11.83904954041096,699.6481054453179,715.6596449427307
